관광지,설명
경복궁,"조선 왕조의 정궁으로, 광화문·경회루 등 국보급 건축물과 고궁의 고즈넉한 정취를 느낄 수 있는 서울 대표 명소입니다."
창덕궁,유네스코 세계문화유산으로 지정된 후원(비원)과 함께 조선 왕실의 생활상을 엿볼 수 있는 아름다운 궁궐입니다.
N서울타워,"남산 정상에 위치해 서울 전경을 360도로 조망할 수 있는 랜드마크로, 야경과 사랑의 자물쇠로 유명합니다."
북촌한옥마을,전통 한옥과 좁은 골목길이 어우러져 과거와 현재가 공존하는 서울의 대표적인 문화·사진 관광지입니다.
남산골한옥마을,"조선시대 양반가를 복원한 한옥 단지로, 전통문화 체험과 국악 공연을 즐길 수 있습니다."
동대문디자인플라자,"자하 하디드가 설계한 미래적 외관이 돋보이는 복합문화공간으로, 패션·전시·야간 장터가 활발합니다."
광장시장,100년 전통의 재래시장에서 빈대떡·육회·마약김밥 등 서민 음식과 활기찬 시장 문화를 경험할 수 있습니다.
홍대거리,"개성 넘치는 카페·거리공연·그래피티로 가득한 젊음의 거리로, 트렌디한 문화와 밤 문화를 즐길 수 있습니다."
이태원,"다문화 음식·쇼핑·나이트라이프가 공존하는 국제적인 거리로, 각국 음식을 한곳에서 맛볼 수 있습니다."
청계천,"도심을 가로지르는 10.9km의 인공하천으로, 산책로와 야간 조명이 아름다운 휴식 공간입니다."
수원화성,"정조대왕이 건립한 세계문화유산 성곽 도시로, 화성행궁·장안문 야경이 일품입니다."
한국민속촌,조선 후기 마을을 재현해 전통놀이·민속공연·계절 축제를 즐길 수 있는 체험형 테마파크입니다.
에버랜드,사파리·롤러코스터·계절 꽃 축제로 사계절 내내 즐길 수 있는 국내 최대 규모의 테마파크입니다.
용인대장금파크,사극 촬영지로 유명해 전통 건물 세트장에서 한복 체험과 드라마 속 장면을 재현할 수 있습니다.
파주임진각평화누리,"DMZ 인근 평화공원으로, 전쟁 역사 교육과 초대형 풍차 언덕·피크닉 공연장이 매력적입니다."
남이섬,"메타세쿼이아 길과 드라마 촬영지로 사랑받는 섬으로, 사계절 자연 풍경과 문화 예술 공간이 공존합니다."
가평아침고요수목원,"정원 디자이너 한상경이 조성한 아름다운 테마정원으로, 사계절 꽃 축제와 야간 불빛 정원이 인기입니다."
양평두물머리,"북한강과 남한강이 만나는 물안개 명소로, 수령 400년 느티나무와 사진 명소로 유명합니다."
화담숲,"LG상록재단이 조성한 친환경 수목원으로, 단풍·수국·이끼원 등 계절별 정원 미학을 즐길 수 있습니다."
헤이리예술마을,"화가·작가·건축가가 모여 만든 문화예술 마을로, 갤러리·카페·책방이 어우러진 감성 여행지입니다."
설악산국립공원,"기암괴석과 울긋불긋 단풍이 압도적인 산악 절경으로, 권금성 케이블카와 울산바위가 대표 코스입니다."
오대산국립공원,비로봉 일출·전나무숲길로 유명하며 월정사·상원사 등 천년 고찰과 숲길 힐링이 돋보입니다.
강릉경포해변,"백사장과 소나무 숲이 조화로운 동해안 대표 해변으로, 해돋이와 커피거리 투어가 인기입니다."
속초영금정,"동해 일출 명소와 등대전망대가 있는 절경으로, 속초항 일대 해산물 먹거리와 묶어 방문하기 좋습니다."
춘천소양강스카이워크,유리 바닥 전망대에서 소양강과 의암호를 내려다보며 아찔한 체험과 야경을 즐길 수 있습니다.
정동진,"해안선과 기차역이 맞닿은 이색 풍경으로, 일출·레일바이크·모래시계공원이 유명합니다."
동해추암촛대바위,"신비로운 촛대바위 기암과 해돋이 포인트로, 출렁다리·해안 산책로가 함께 있습니다."
평창대관령양떼목장,"푸른 초원과 하얀 양떼가 어우러진 유럽풍 목장 풍경으로, 사계절 포토 스폿으로 각광받습니다."
삼척해상케이블카,맑은 동해 바다 위를 가로지르며 죽서루·삼척항 풍경을 입체적으로 감상할 수 있습니다.
정선아리랑시장,"정선 5일장으로 유명한 전통 재래시장으로, 곤드레밥·올챙이국수 등 산간 별미를 맛볼 수 있습니다."
대전엑스포과학공원,기초과학 체험관·한빛탑·대관람차가 있는 대전의 가족형 과학 테마파크입니다.
공주마곡사,"백제시대 창건된 천년 고찰로, 솔숲 산책로와 대웅보전이 아름다운 힐링 사찰입니다."
부여백제문화단지,"사비백제 왕궁과 정림사지 등을 재현한 테마 단지로, 백제 역사와 문화를 한눈에 체험할 수 있습니다."
서산해미읍성,"조선시대 읍성 형태를 그대로 간직한 성곽 마을로, 역사 축제와 한옥 게스트하우스가 매력입니다."
태안꽃지해수욕장,"할미·할아비 바위 일몰이 장관인 서해 대표 해변으로, 안면도 자연휴양림과 연계 여행에 좋습니다."
단양도담삼봉,남한강 위 세 봉우리의 절경을 감상하며 유람선·카약 체험과 돌다리 사진이 인기입니다.
청풍호케이블카,충주호 수면 위를 가로지르며 월악산 및 호반 경관을 360도로 감상할 수 있는 케이블카입니다.
충주호조정경,호수 위 수상카페·조정 경기장 경관을 즐기며 야경 드라이브 코스로 사랑받습니다.
제천의림지,삼한시대에 축조된 저수지와 벚꽃길·출렁다리가 어우러진 호반 산책 명소입니다.
월악산국립공원,"정상 영봉과 계곡 트레킹이 인기인 명산으로, 송계계곡·덕주사 문화유산이 함께합니다."
전주한옥마을,700여 채 한옥과 전주비빔밥·한지 공예 체험이 어우러진 전통문화 도시 여행 1번지입니다.
군산시간여행마을,근대 일본식 건물과 철길마을이 남아 있어 영화·드라마 촬영지로 유명합니다.
순천만국가정원,"세계적인 습지 순천만과 연계된 대규모 정원 박람회장으로, 사계절 꽃 축제와 야간 불빛정원이 인기입니다."
여수오동도,"동백나무 숲과 용굴·방풍림이 어우러진 섬으로, 여수 밤바다 케이블카와 연계 관광 필수 코스입니다."
담양죽녹원,대나무 숲 터널과 죽녹원 전망대가 만들어내는 청량한 힐링 산책 코스로 유명합니다.
광주펭귄마을,"주민이 폐품을 예술 작품으로 꾸민 개성 넘치는 골목길로, 포토 스폿이 가득합니다."
보성녹차밭대한다원,"끝없이 펼쳐진 계단형 차밭 풍경과 수국·벚꽃 시즌 명소로, 녹차아이스크림이 별미입니다."
고창읍성,"왜구 침입에 대비해 지은 조선 전기 석성으로, 성곽 걷기와 모양성제 축제가 유명합니다."
무주덕유산리조트,스키·곤돌라·산악자전거 등을 즐길 수 있는 사계절 산악 레저 복합 리조트입니다.
남원광한루원,"춘향전의 배경이 된 전통 정원으로, 오작교·방장지가 조성된 야간 경관이 아름답습니다."
경주불국사,석가탑·다보탑을 품은 신라 불교문화의 결정체로 유네스코 세계문화유산에 등재되었습니다.
경주대릉원,천마총을 포함한 신라 왕가 고분군이 모여 있어 사계절 억새·유채·꽃밭 산책이 인기입니다.
포항영일대해변,"탁 트인 바다와 호미곶 일출이 아름다운 동해안 휴양지로, 스카이워크와 야경이 볼거리입니다."
울산대왕암공원,해송 숲과 기암절벽이 어우러진 해안 산책로와 출렁다리가 일품인 울산 대표 명소입니다.
부산해운대해수욕장,"백사장과 마천루 스카이라인이 조화로운 한국 대표 해변으로, 해운대 블루라인파크가 화제입니다."
부산감천문화마을,"알록달록 층층이 집들이 그림처럼 펼쳐진 색채 골목으로, 벽화·예술 공방 투어가 인기입니다."
통영동피랑벽화마을,"한려수도 바다와 어우러진 원색 벽화 골목으로, 통영 케이블카·루지와 함께 즐기기 좋습니다."
거제외도보타니아,"남해 바다 위 열대식물원 섬으로, 동백·선인장 정원이 지중해풍 건축과 어우러져 이국적입니다."
하동섬진강포구,벚꽃길·재첩국·슬로시티 풍경으로 정겨운 섬진강 하구 드라이브 코스입니다.
안동하회마을,"풍산 류씨 집성촌의 전통 한옥 마을로, 탈춤·선유줄불놀이로 유명한 유네스코 세계문화유산입니다."
한라산국립공원,제주 최고봉 백록담과 사계절 숲길 트레킹이 매력적인 세계자연유산 화산섬입니다.
만장굴,"세계에서 가장 긴 용암동굴 중 하나로, 자연이 만든 용암석주·용암선반을 감상할 수 있습니다."
성산일출봉,거대한 수성화산체 정상에서 일출을 감상할 수 있는 제주 필수 방문 명소입니다.
협재해변,눈부신 백사장과 에메랄드빛 얕은 바다로 가족 여행객에게 사랑받는 서부 해변입니다.
중문관광단지,대포주상절리·천제연폭포·여미지식물원이 모여 있는 제주의 종합 관광 리조트 지구입니다.
우도,"땅콩아이스크림·검멀레해변으로 유명한 제주 부속섬으로, 자전거·스쿠터 일주가 인기입니다."
제주오설록티뮤지엄,"녹차밭과 전시관, 티하우스가 어우러진 곳으로 제주 녹차 문화와 디저트를 체험할 수 있습니다."
제주러브랜드,"18세 이상만 입장 가능한 조각 공원으로, 유쾌한 러브 테마 조형물을 관람할 수 있습니다."
용머리해안,"화산재가 쌓여 형성된 지층이 용 머리 형상을 이룬 해안 절벽으로, 물때에 맞춰 탐방이 가능합니다."
광치기해변,성산일출봉을 배경으로 푸른 바다·검은 현무암이 대비돼 사진 촬영 명소로 각광받는 해변입니다.
송도센트럴파크,해수 공원이 도심 속 수로를 이뤄 수상택시·카약을 즐길 수 있는 인천 신도시 랜드마크입니다.
차이나타운(인천),1900년대 조성된 중국풍 골목과 짜장면 원조 맛집이 있는 문화·맛집 거리입니다.
월미문화의거리,테마파크·바다열차·월미산 전망대가 한데 모여 해양 레저와 야경을 누릴 수 있습니다.
강화도고려궁지,고려 마지막 궁궐 터와 옛 성곽이 남아 있어 역사 탐방과 강화도 섬 여행의 출발지로 손꼽힙니다.
제부도,"바닷길이 열리는 모세의 기적과 갯벌 체험, 일몰이 아름다운 서해 섬 여행지입니다."
대구동성로,"패션·맛집·카페가 밀집한 대구 대표 번화가로, 야간 네온 사인과 청년 문화가 활발합니다."
대구팔공산갓바위,관절·자녀 소원 기도처로 알려진 석조불상을 참배하며 산행과 일출을 즐길 수 있습니다.
김천직지사,"삼국시대 창건된 천년 사찰로, 가을 단풍길과 금오산 둘레길이 아름답습니다."
구미선산유적지,조선 영조 탄생지와 선산읍성 흔적을 따라 역사·전통시장을 함께 둘러볼 수 있습니다.
문경새재도립공원,조령관문 옛길 트레킹과 짚라인·레일바이크 체험으로 사계절 관광객이 찾는 명소입니다.
계룡산국립공원,"흔들바위·남매탑 전설과 단풍 산행이 유명하며, 신도안 사찰 문화재가 많습니다."
대전스카이로드,"대형 LED 아케이드가 화려한 대전 번화가 중심 거리로, 야간 쇼와 축제가 열립니다."
보령머드해수욕장,"머드축제로 세계적으로 유명한 대천해변으로, 갯벌 머드 체험과 해수욕을 동시에 즐깁니다."
공주공산성,백제 시대 산성으로 웅진백제의 흔적을 따라 성곽 산책과 금서루 전망을 감상할 수 있습니다.
서천국립생태원,"국내 최대 생태 전시·체험 공간으로, 사막·열대·극지 숲을 체험할 수 있는 실내 정원이 특징입니다."
울릉도도동항,"깎아지른 절벽과 맑은 동해 바다가 어우러진 울릉도 대표 항구로, 오징어 거리와 행남해안산책로가 유명합니다."
독도전망대(울릉도),울릉도 서쪽 높이 430m 봉우리 전망대에서 맑은 날 독도를 조망할 수 있는 상징적 장소입니다.
남해독일마을,"파독 광부·간호사가 조성한 붉은 지붕 독일식 주택 단지로, 맥주 축제와 이국적 풍경이 매력입니다."
서귀포천지연폭포,용암이 만든 22m 폭포수가 푸른 소(沼)로 떨어지는 제주의 대표 폭포 명소입니다.
고흥팔영산,"남해 다도해 전망이 시원한 암봉 산행지로, 팔영산 일출·운해가 장관입니다."
평창용평리조트,곤도라·스키·알파인코스터를 즐길 수 있는 사계절 산악 레저 리조트입니다.
문경짚라인,문경새재 절경 위 1km가 넘는 코스로 스릴 만점 짚라인 체험이 가능합니다.
밀양영남루,"조선 3대 누각 중 하나로, 밀양강과 함께 어우러진 전통 정원의 품격을 느낄 수 있습니다."
양양서피비치,"서핑 초보도 즐길 수 있는 동해안 서핑 메카로, 해변 카페·차박 명소로도 유명합니다."
홍천비발디파크,스키·오션월드·골프 등 복합 레저 시설을 갖춘 수도권 근교 대형 리조트입니다.
안면도꽃지,해변에 우뚝 선 할미·할아비 바위와 노을이 어우러진 서해 낙조 명소입니다.
태백산눈꽃축제장,겨울마다 눈꽃 터널과 얼음 조각 전시로 몽환적인 설경을 선사합니다.
김제벽골제,"백제 시대 조성된 대규모 수리시설로, 벼세우기 축제와 함께 농경 문화 체험이 가능합니다."
진해군항제벚꽃길,벚꽃 만개 시 100만 인파가 찾는 진해 중원로타리·경화역 벚꽃 명소입니다.
여수밤바다해양공원,음악분수·해상케이블카·야간 조명이 조화로운 낭만적인 밤바다 산책 코스입니다.
