tool_name,category,example_sentence
create_calendar,calendar,임시테스트 라는 이름의 캘린더를 새로 만들어줘
create_calendar,calendar,업무용 캘린더를 생성해줘
get_calendar_list,calendar,내 캘린더 목록을 보여줘
get_calendar_list,calendar,현재 등록된 캘린더들을 확인해줘
update_calendar,calendar,업무 캘린더 이름을 '회사 일정'으로 바꿔줘
update_calendar,calendar,캘린더 이름을 변경해줘
delete_calendar,calendar,임시 캘린더를 삭제해줘
delete_calendar,calendar,테스트용 캘린더를 제거해줘
get_holidays,calendar,2024년 공휴일을 알려줘
get_holidays,calendar,올해 휴일 목록을 보여줘
daum_web_search,search,파이썬 프로그래밍에 대해 검색해줘
daum_web_search,search,최신 AI 뉴스를 찾아줘
create_task,task,내일까지 보고서 작성하기 할 일을 추가해줘
create_task,task,운동하기 할 일을 만들어줘
get_tasks,task,내 할 일 목록을 보여줘
get_tasks,task,오늘 해야 할 일들을 확인해줘
records_task,task,할 일 도전 기록을 보여줘
records_task,task,태스크 완료 히스토리를 확인해줘
update_task,task,운동하기 할 일의 마감일을 내일로 바꿔줘
update_task,task,할 일 제목을 변경해줘
complete_task,task,운동하기 할 일을 완료로 표시해줘
complete_task,task,보고서 작성 태스크를 끝냈어
delete_task,task,불필요한 할 일을 삭제해줘
delete_task,task,완료된 태스크를 지워줘
create_event,event,내일 오후 2시에 회의 일정을 만들어줘
create_event,event,다음 주 월요일에 병원 예약 일정을 추가해줘
get_event_list,event,이번 주 일정을 보여줘
get_event_list,event,내 일정 목록을 확인해줘
get_event_detail,event,회의 일정 상세 정보를 보여줘
get_event_detail,event,내일 약속 세부사항을 확인해줘
update_event,event,회의 시간을 오후 3시로 변경해줘
update_event,event,일정 제목을 수정해줘
delete_event,event,취소된 회의 일정을 삭제해줘
delete_event,event,불필요한 일정을 없애줘
search_places_by_keyword,local,강남역 근처 맛집을 찾아줘
search_places_by_keyword,local,홍대 카페를 검색해줘
search_places_by_category,local,음식점 카테고리로 장소를 찾아줘
search_places_by_category,local,문화시설을 찾아줘 